file_size_bytes,file_extension,mime_type,creation_time_delta,entropy,num_strings,avg_string_length,printable_ratio,null_byte_ratio,number_of_sections,has_executable_flag,has_macros,imported_functions_count,suspicious_api_score,source_channel,user_privilege_level,access_time_category,class_label,split,record_id
4361679.0,.txt,application/json,47115.52082708222,1.0,2596.0,24.334290423576107,0.6983066722825065,0.011487815239141332,1.0,False,False,7.0,0.049309413780513595,internal,elevated,archival,benign,train,synth-492
2129065.8,.cfg,text/csv,99885.17336087464,0.875,2499.8,15.620886217073277,0.5965646611857467,0.13222043293029406,1.6,False,False,9.2,0.24626446907951957,internal,standard,archival,benign,train,synth-383
373638.0,.xlsx,application/vnd.ms-excel,3149.845473104506,1.0,4442.0,27.648538213697044,0.5574420971414339,0.009090235561781934,2.0,False,False,9.0,0.551619942422842,internal,standard,business_hours,policy_violation,train,synth-856
782574.0,.pptx,application/octet-stream,44848.58745037151,0.875,1619.0,19.060672461202053,0.4783617983110948,0.15192034154813377,2.0,False,False,38.0,0.4834190412708517,internal,standard,business_hours,policy_violation,train,synth-834
65562.0,.bin,application/x-dosexec,39834.021159767784,1.0,481.0,21.578687111685873,0.5487063673099372,0.02286401584232409,9.0,True,False,81.0,0.695295348126985,email,system,recent,malware,test,synth-603
3090210.2,.msi,application/x-msdownload,184425.41068793755,0.875,1529.2,22.240643794557897,0.6573695334068275,0.14750004568944167,2.0,True,False,28.8,0.33347447393169516,usb,elevated,during_off_hours,potentially_unwanted,train,synth-712
4689032.0,.txt,text/csv,6079.502341534215,1.0,2649.0,17.149277752643275,0.8911578984443098,0.013985063981528822,1.0,False,False,8.0,0.021020022283846668,internal,elevated,recent,benign,train,synth-126
3535933.0,.cfg,application/json,111725.35116342071,1.0,2622.0,23.23064984654653,0.749622078212975,0.004366794946540487,4.0,False,False,0.0,0.2361855859792375,web,elevated,recent,benign,train,synth-290
386530.0,.dll,application/x-dosexec,69799.55160389954,1.0,635.0,19.03299184049638,0.10712203743273166,0.135334712925458,5.0,True,False,41.0,0.6268090867457912,usb,system,recent,malware,test,synth-549
4193858.0,.txt,text/plain,112008.6325159395,1.0,786.0,32.445374114524085,0.7290316905639886,0.005874409580719718,1.0,False,False,18.0,0.029267923978000987,internal,standard,archival,benign,train,synth-169
2821305.0,.bin,application/x-dosexec,186758.18267103512,1.0,163.0,13.549791591297902,0.2561628296992148,0.03214728729703759,8.0,True,False,190.0,0.7970643780738551,web,elevated,recent,malware,train,synth-689
1197227.0,.txt,application/json,94390.91004316391,1.0,1687.0,27.238000007319854,0.7913497254126785,0.010551969776100375,3.0,False,False,3.0,0.13396462475360724,internal,standard,archival,benign,train,synth-406
4421424.6,.bin,application/octet-stream,142353.90669383205,1.0,414.4,21.11951996671266,0.542842079522074,0.015973892306805935,3.0,True,False,28.200000000000003,0.3666791609365158,web,system,recent,malware,train,synth-516
7113811.0,.bin,application/octet-stream,196047.61309379977,1.0,276.0,22.353151694449267,0.29432677344354974,0.04137415199097744,9.0,True,False,38.0,0.8394335174235037,usb,system,recent,malware,train,synth-529
6589542.0,.exe,application/octet-stream,215926.07638868754,1.0,404.0,15.561374192853894,0.19747340391665355,0.12828811629657694,3.0,False,True,116.0,0.8547662875090549,web,elevated,recent,malware,train,synth-508
1613831.0,.dll,application/x-msdownload,25399.199107300592,1.0,2809.0,27.160887533393808,0.36759265530931207,0.07755432243738841,5.0,False,True,47.0,0.7432126916649437,usb,standard,during_off_hours,potentially_unwanted,test,synth-715
4248187.0,.log,application/json,229020.68621843364,1.0,3432.0,14.089646320566988,0.7275788705638032,0.014912043341078438,3.0,False,False,13.0,0.17599704409429448,web,standard,recent,benign,train,synth-438
1442966.0,.scr,application/octet-stream,198380.58345360841,0.875,97.0,17.030060256959107,0.5382768018288002,0.20005933662505154,7.0,True,False,151.0,0.6355386886425289,internal,elevated,recent,malware,val,synth-625
8890035.0,.docx,application/pdf,204557.51705842378,1.0,6094.0,23.740837692266243,0.8005729727960622,0.004739493561835709,2.0,False,False,4.0,0.2285042118183539,internal,standard,archival,confidential_suspected,train,synth-925
1184857.0,.txt,text/plain,42480.94999600131,1.0,2828.0,16.711248505380585,0.5663585028479441,0.007686057903150931,3.0,False,False,17.0,0.24653815475531382,internal,standard,recent,benign,val,synth-110
3165984.0,.log,text/plain,16026.306300232376,1.0,2279.0,13.071898736659147,0.7691634758192661,0.01372595905311616,3.0,True,False,9.0,0.060294763687343184,web,elevated,recent,benign,test,synth-147
4348841.0,.log,text/csv,45797.69479128797,1.0,1785.0,19.14808676758243,0.5631534587354083,0.014263813311915941,4.0,False,False,9.0,0.24670307307575948,internal,standard,recent,benign,train,synth-366
1733580.0,.txt,text/csv,147677.13167506302,1.0,908.0,16.34829593855873,0.6196146539487489,0.007938180525765432,3.0,False,False,4.0,0.21911359766109387,internal,elevated,archival,benign,train,synth-130
263179.0,.txt,application/json,100316.42145589118,1.0,559.0,20.63836592340458,0.7088586383031963,0.005951877415680644,2.0,False,False,12.0,0.23640517571949135,web,standard,archival,benign,train,synth-319
4031953.0,.csv,application/json,45797.13350278921,1.0,3836.0,23.23258358399486,0.7802426117184796,0.01674887615849499,4.0,False,False,15.0,0.18609665305810444,internal,standard,recent,benign,train,synth-324
